source,predicted_destination,target_path,score,action,method,reasons
(1) Inbox _ kdturnage@protonmail V Gray confer email motion to dismiss.pdf,02_Pleadings/Motions,02_Pleadings/Motions/(1) Inbox _ kdturnage@protonmail V Gray confer email motion to dismiss.pdf,140,would_move,,matched 'motion' | matched 'motion to'
(1).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(10).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(11).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(12).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(13).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(14).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(15).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(16).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(17).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(18).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(2).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(20).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(21).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(24) Inbox _ kdturnage@protonmail.com _ Proton Mail Request for additional information.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(3).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(4).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(44) All mail _ kdturnage@protonmail August 18 2025 Ethics Crowdsourcing.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
"(44) All mail _ kdturnage@protonmail August 26, 2025.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
"(44) All mail _ kdturnage@protonmail August 27, 2025 McCabe against leave.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
"(44) All mail _ kdturnage@protonmail Crowdsourcing Response Email August 18, 2025.pdf",02_Pleadings/Responses,"02_Pleadings/Responses/(44) All mail _ kdturnage@protonmail Crowdsourcing Response Email August 18, 2025.pdf",70,would_move,,matched 'response'
"(44) All mail _ kdturnage@protonmail Request for Documentation November 25, 2025.pdf",98_Needs_Review/Uncertain,,0,review_only,,no confident match
(44) All mail _ kdturnage@protonmail Response to August 27 2025 Followup McCabe.pdf,02_Pleadings/Responses,02_Pleadings/Responses/(44) All mail _ kdturnage@protonmail Response to August 27 2025 Followup McCabe.pdf,70,would_move,,matched 'response'
(5).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(6).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(7).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(8).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(9).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
(Amended Motion for Protective Order).pdf,03_Discovery/Protective_Orders,03_Discovery/Protective_Orders/(Amended Motion for Protective Order).pdf,85,would_move,,matched 'protective order'
01Mar2024 Email.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
02-Witness Affidavit (Turnage)[Final].pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/02-Witness Affidavit (Turnage)[Final].pdf,80,would_move,,matched 'affidavit'
02-Witness Affidavit (Turnage)[TFinal].pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/02-Witness Affidavit (Turnage)[TFinal].pdf,80,would_move,,matched 'affidavit'
02-Witness Affidavit -Turnage Supplemental.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/02-Witness Affidavit -Turnage Supplemental.pdf,80,would_move,,matched 'affidavit'
02-Witness Supplemental Affidavit - Turnage.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/02-Witness Supplemental Affidavit - Turnage.pdf,80,would_move,,matched 'affidavit'
02-Wittness Affidavit-Turnage Initial Affidavit Plus documentation.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/02-Wittness Affidavit-Turnage Initial Affidavit Plus documentation.pdf,80,would_move,,matched 'affidavit'
032123  0732 email to IHS HQ regarding Hostile Work Environment.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
1 (2).pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
1-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
10-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
10-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
10.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
11-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
11-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
11.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
112425 0837 mccabe email.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
112425 0924 email mccabe.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
12212022 Email to IHS HQ including Director Tso.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
18April 2025 Memo Legal.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/18April 2025 Memo Legal.pdf,70,would_move,,matched 'memo'
2024 PMAP.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
2024004239_01_A1-AG_071524_094845_A.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
2024004239_01_AT-CO_071524_094845_C.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
2024004239_Appellant_Initial_Acknowledgement_Letter.pdf,00_Admin/Correspondence,,65,review_only,,matched 'letter'
2025 SF50 12_10.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
24-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
24-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
24-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
26-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
26.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27-6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
27.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
28-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
28.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
29Nov2023 Policy Committee email Attachments.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/29Nov2023 Policy Committee email Attachments.pdf,80,would_move,,matched 'tac'
29Nov2023 Policy Committee email.pdf,04_Exhibits/Policies,04_Exhibits/Policies/29Nov2023 Policy Committee email.pdf,75,would_move,,matched 'policy'
29USCChapter 28 FMLA.pdf,05_Legal_Authorities/Statutes,05_Legal_Authorities/Statutes/29USCChapter 28 FMLA.pdf,160,would_move,,matched 'usc' | matched 'fmla'
2Turnage Kevin HHS-IHS-0296-2023 Final Agency Decision.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
34-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
34-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
34-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
34.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35-6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
35.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36-7.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
36.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 Dill.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 GB.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 Hixson.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 Lee.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 McCabe.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 Pingel.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 Pope.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 Reidhead.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
37 summons Added Defendants.pdf,01_Case_Management/Case_Caption,01_Case_Management/Case_Caption/37 summons Added Defendants.pdf,70,would_move,,matched 'summons'
37 White.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
38 summons with deficiencies.pdf,01_Case_Management/Case_Caption,01_Case_Management/Case_Caption/38 summons with deficiencies.pdf,70,would_move,,matched 'summons'
43-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
43-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
43-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
43.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-7.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44-8.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
44.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
46.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50-6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
50.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
51-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
51-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
